nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",12/31/2019 23:40,1850,Normal
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 0:10,2060,Normal
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 0:40,2110,Normal
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 1:10,2150,Normal
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 1:40,2210,Normal
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 2:10,1870,Normal
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 2:40,2110,Normal
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 3:10,2380,Normal
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 3:40,2640,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 4:10,2800,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 4:40,2860,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 5:10,2880,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 5:40,2900,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 6:10,2930,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 6:40,2940,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 7:10,2950,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 7:40,2960,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 8:10,2970,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 8:40,3000,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 9:10,2970,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 9:40,3030,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 10:10,3020,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 10:40,3020,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 11:10,3020,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 11:40,3020,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 12:10,3000,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 12:40,2900,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 13:10,2950,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 13:20,2950,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 13:40,2960,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 14:10,2900,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 14:40,2910,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 15:10,2910,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 15:40,2920,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 16:10,2920,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 16:40,2950,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 17:10,2940,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 17:40,2950,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 18:10,2960,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 18:40,2950,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 19:10,2960,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 19:40,2960,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 20:10,2950,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 20:40,2950,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 21:10,2980,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 21:40,2990,Siaga 3
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 22:10,3090,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 22:40,3250,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 23:10,3260,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/1/2020 23:40,3330,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 0:10,3350,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 0:40,3360,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 1:10,3350,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 1:40,3330,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 2:10,3340,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 2:40,3350,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 3:10,3340,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 3:40,3370,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 4:10,3330,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 4:40,3360,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 5:10,3330,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 5:40,3260,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 6:10,3340,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 6:40,3320,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 7:10,3300,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 7:40,3310,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 8:10,3290,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 8:40,3290,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 9:10,3270,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 9:40,3250,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 10:10,3220,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 10:40,3200,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 11:10,3220,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 11:40,3200,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 12:10,3180,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 12:40,3180,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 13:10,3100,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 13:40,3030,Siaga 2
P.A. Istiqlal  ,Ciliwung,"-6,168,254","106,831,350",1/2/2020 14:10,3090,Siaga 2
