nama_pintu_air,lokasi,latitude,longitude,tinggi_normal,tinggi_siaga_3,tinggi_siaga_2,tanggal,tinggi_air,status_siaga
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,12/31/2019 23:00,900,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,12/31/2019 23:00,900,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,12/31/2019 23:00,900,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,12/31/2019 23:40,480,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,12/31/2019 23:40,1720,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,12/31/2019 23:40,6320,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,12/31/2019 23:40,3290,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,12/31/2019 23:40,1850,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,12/31/2019 23:40,1600,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,12/31/2019 23:40,1700,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 0:00,1640,Siaga 2
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 0:10,470,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 0:10,1670,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 0:10,6390,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 0:10,3240,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 0:10,2060,Normal
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 0:10,1800,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 0:40,450,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 0:40,1630,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 0:40,6590,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 0:40,3230,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 0:40,2110,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 0:40,1700,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 0:40,1780,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 1:00,2000,Siaga 3
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 1:00,2000,Siaga 3
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 1:00,2000,Siaga 3
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 1:10,400,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 1:10,440,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 1:10,750,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 1:10,6800,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 1:10,3290,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 1:10,2150,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 1:10,1750,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 1:10,1810,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 1:40,380,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 1:40,430,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 1:40,1570,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 1:40,7060,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 1:40,3460,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 1:40,2210,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 1:40,1800,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 1:40,1930,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 2:00,1000,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 2:00,1000,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 2:00,1000,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 2:10,380,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 2:10,420,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 2:10,1590,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 2:10,7350,Normal
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 2:10,3800,Normal
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 2:10,1870,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 2:10,1920,Siaga 2
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 2:10,1970,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 2:40,380,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 2:40,420,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 2:40,1600,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 2:40,7960,Siaga 3
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 2:40,4680,Siaga 3
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 2:40,2110,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 2:40,2050,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 2:40,2020,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 3:10,370,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 3:10,410,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 3:10,1610,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 3:10,8450,Siaga 3
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 3:10,5220,Siaga 3
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 3:10,2380,Normal
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 3:10,2230,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 3:10,2030,Normal
PA. Cibalok - Gadog,Ciliwung,-6653417,106869551,1390,1490,1990,1/1/2020 3:40,390,Normal
PS. Katulampa (Hulu),Ciliwung,-6633167,106836806,790,1490,1990,1/1/2020 3:40,400,Normal
PS. Depok,Ciliwung,-6400514,106832143,1990,2690,3490,1/1/2020 3:40,1550,Normal
PA. Manggarai,Ciliwung,-6207825,106848458,7490,8490,9490,1/1/2020 3:40,8700,Siaga 2
P.A. Karet,Banjir Kanal Barat,-6197901,106810075,4490,5490,5990,1/1/2020 3:40,5710,Siaga 2
P.A. Istiqlal  ,Ciliwung,-6168254,10683135,2490,2990,3490,1/1/2020 3:40,2640,Siaga 3
P.A. Jembatan Merah,Ciliwung,-6149068,106834214,1490,1990,2490,1/1/2020 3:40,2440,Siaga 1
P.A. Ancol Flusing,Ciliwung,-6129859,106831254,1790,1890,2190,1/1/2020 3:40,2130,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
PS. Angke Hulu,Angke,-6220047,106694137,1490,2490,2990,1/1/2020 4:00,1150,Normal
